dataset,model,default_rate,lime_cv_mean,lime_cv_std,shap_cv_mean,shap_cv_std,lime_sra_mean,shap_sra_mean,lime_vsi_mean
Taiwan,xgboost,0.01,,,0.8444652546711017,0.022734394210382067,0.0,32.46801629663763,0.0
Taiwan,xgboost,0.025,,,0.8334067763551058,0.021238448048166117,0.0,31.00049841333891,0.0
Taiwan,xgboost,0.05,,,0.8010346991434727,0.023978265264389873,0.0,29.817704302510876,0.0
Taiwan,xgboost,0.1,,,0.7705207400762223,0.030459538769816965,0.0,27.81950643485288,0.0
Taiwan,xgboost,0.15,,,0.7351876051673741,0.029523912470378878,0.0,26.213909269575996,0.0
Taiwan,xgboost,0.2,,,0.7125873102996921,0.0295118144600721,0.0,25.526943545347887,0.0
Taiwan,xgboost,0.25,,,0.700160038973947,0.030327332639104393,0.0,24.307774396358518,0.0
Taiwan,xgboost,0.3,,,0.6870953880878171,0.027517289043481146,0.0,23.1806217898488,0.0
Taiwan,xgboost,0.35,,,0.6683532612237335,0.02924227766566565,0.0,22.198432019092774,0.0
Taiwan,xgboost,0.4,,,0.6580140755533577,0.029554441887185676,0.0,21.908722197109263,0.0
Taiwan,xgboost,0.45,,,0.6512809693408067,0.02836758657539643,0.0,20.823201535056295,0.0
Taiwan,xgboost,0.5,,,0.6454179362537354,0.02876603384895745,0.0,20.379068640779142,0.0
German,xgboost,0.01,,,0.718823560726121,0.022431910104290277,0.0,16.781516424876397,0.0
German,xgboost,0.025,,,0.5315618226838236,0.03170064309113488,0.0,8.085088886671661,0.0
German,xgboost,0.05,,,0.39642727859459775,0.03429760980523195,0.0,3.0759797098817847,0.0
German,xgboost,0.1,,,0.39642727859459775,0.03429760980523195,0.0,3.0759797098817847,0.0
German,xgboost,0.15,,,0.39642727859459775,0.03429760980523195,0.0,3.0759797098817847,0.0
German,xgboost,0.2,,,0.39642727859459775,0.03429760980523195,0.0,3.0759797098817847,0.0
German,xgboost,0.25,,,0.39642727859459775,0.03429760980523195,0.0,3.0759797098817847,0.0
German,xgboost,0.3,,,0.39642727859459775,0.03429760980523195,0.0,3.0759797098817847,0.0
German,xgboost,0.35,,,0.39642727859459775,0.03429760980523195,0.0,3.0759797098817847,0.0
German,xgboost,0.4,,,0.39642727859459775,0.03429760980523195,0.0,3.0759797098817847,0.0
German,xgboost,0.45,,,0.39642727859459775,0.03429760980523195,0.0,3.0759797098817847,0.0
German,xgboost,0.5,,,0.39642727859459775,0.03429760980523195,0.0,3.0759797098817847,0.0
