dataset,strategy,strategy_label,default_rate,shap_cv,shap_sra
Taiwan,baseline,Baseline (no resampling),0.01,0.8456804337926167,32.5598451778677
Taiwan,baseline,Baseline (no resampling),0.025,0.8427243206019684,31.11640598131351
Taiwan,baseline,Baseline (no resampling),0.05,0.8113718893437217,28.953615919621317
Taiwan,baseline,Baseline (no resampling),0.1,0.7640194007336626,27.925053836588777
Taiwan,baseline,Baseline (no resampling),0.15,0.7389532039468779,25.765245810040646
Taiwan,baseline,Baseline (no resampling),0.2,0.7149326278914805,24.17524931416277
Taiwan,baseline,Baseline (no resampling),0.25,0.6883956013481378,22.643584351662998
Taiwan,baseline,Baseline (no resampling),0.3,0.6674342210839316,22.19074064538665
Taiwan,baseline,Baseline (no resampling),0.35,0.6728651157482224,21.016728688416688
Taiwan,baseline,Baseline (no resampling),0.4,0.6593047744869862,20.095266665398107
Taiwan,baseline,Baseline (no resampling),0.45,0.6552568293798783,20.08485921868997
Taiwan,baseline,Baseline (no resampling),0.5,0.651004303624972,19.86355475669274
Taiwan,smote,SMOTE,0.01,0.8157935228783033,30.17738791278785
Taiwan,smote,SMOTE,0.025,0.7641990482999028,26.10217223461825
Taiwan,smote,SMOTE,0.05,0.7026693741755055,21.463213150091775
Taiwan,smote,SMOTE,0.1,0.660840473172881,18.10322443021438
Taiwan,smote,SMOTE,0.15,0.651193314899829,15.649251793017335
Taiwan,smote,SMOTE,0.2,0.6420109734669974,14.281800318370214
Taiwan,smote,SMOTE,0.25,0.6217058087761833,13.956798074192804
Taiwan,smote,SMOTE,0.3,0.6184552420184142,14.105618744610034
Taiwan,smote,SMOTE,0.35,0.6164848714671946,14.023284133920114
Taiwan,smote,SMOTE,0.4,0.6214781543896022,15.093723652113107
Taiwan,smote,SMOTE,0.45,0.6419850388309527,18.925714504447463
Taiwan,smote,SMOTE,0.5,0.651004303624972,19.86355475669274
Taiwan,adasyn,ADASYN,0.01,0.8159199589177093,30.128751346208396
Taiwan,adasyn,ADASYN,0.025,0.7771946223248811,25.776866906621922
Taiwan,adasyn,ADASYN,0.05,0.7079296268547293,21.500365749268752
Taiwan,adasyn,ADASYN,0.1,0.6551107858435238,17.385902198059213
Taiwan,adasyn,ADASYN,0.15,0.6399128321611067,15.947654710061359
Taiwan,adasyn,ADASYN,0.2,0.6278710248739341,14.266357518440527
Taiwan,adasyn,ADASYN,0.25,0.6314757607357923,13.996102127617021
Taiwan,adasyn,ADASYN,0.3,0.6280277310614768,14.035354945136667
Taiwan,adasyn,ADASYN,0.35,0.6156079214673411,14.254222182516102
Taiwan,adasyn,ADASYN,0.4,0.6304583268930699,14.602943162309968
Taiwan,adasyn,ADASYN,0.45,0.6552568293798783,20.08485921868997
Taiwan,adasyn,ADASYN,0.5,0.651004303624972,19.86355475669274
Taiwan,rus,Random Under-Sampling,0.01,0.879941436850142,31.380588732373987
Taiwan,rus,Random Under-Sampling,0.025,0.8267682798248525,32.674908352322014
Taiwan,rus,Random Under-Sampling,0.05,0.8032833052367175,32.28961380340431
Taiwan,rus,Random Under-Sampling,0.1,0.7725440734361867,30.69402935570939
Taiwan,rus,Random Under-Sampling,0.15,0.7409179281613167,28.102726784720673
Taiwan,rus,Random Under-Sampling,0.2,0.7275419221955781,26.20869297487265
Taiwan,rus,Random Under-Sampling,0.25,0.7053936532049945,25.094920815947315
Taiwan,rus,Random Under-Sampling,0.3,0.6911104899320779,24.064400441288516
Taiwan,rus,Random Under-Sampling,0.35,0.6763937177200829,22.969232142089453
Taiwan,rus,Random Under-Sampling,0.4,0.6623561094686365,21.196473309163412
Taiwan,rus,Random Under-Sampling,0.45,0.6618159704015018,20.931277401049574
Taiwan,rus,Random Under-Sampling,0.5,0.6349432053184462,18.79283242562751
Taiwan,cost_sensitive,Cost-Sensitive XGBoost,0.01,0.8435094408927578,31.752091848819678
Taiwan,cost_sensitive,Cost-Sensitive XGBoost,0.025,0.8344991818235085,29.708522672273386
Taiwan,cost_sensitive,Cost-Sensitive XGBoost,0.05,0.8041063154646158,28.600586506286273
Taiwan,cost_sensitive,Cost-Sensitive XGBoost,0.1,0.7632597615052044,27.45507467697514
Taiwan,cost_sensitive,Cost-Sensitive XGBoost,0.15,0.733666998368528,25.387097763426972
Taiwan,cost_sensitive,Cost-Sensitive XGBoost,0.2,0.7074129665832067,23.336341386936294
Taiwan,cost_sensitive,Cost-Sensitive XGBoost,0.25,0.7019234110656012,23.242591794290256
Taiwan,cost_sensitive,Cost-Sensitive XGBoost,0.3,0.6688610367419734,21.623695805137082
Taiwan,cost_sensitive,Cost-Sensitive XGBoost,0.35,0.665452060857278,20.399390490044617
Taiwan,cost_sensitive,Cost-Sensitive XGBoost,0.4,0.6594742959958022,19.945536092347666
Taiwan,cost_sensitive,Cost-Sensitive XGBoost,0.45,0.6549330739875252,19.94751970699957
Taiwan,cost_sensitive,Cost-Sensitive XGBoost,0.5,0.651004303624972,19.86355475669274
