ratio,method,SRA1,SRA2,SRA3,SRA4,SRA5,CV_med,CSI,VSI
1,LIME,1.6197221984031702,1.3274788133902549,1.149630375381583,1.043551627855565,0.9526279441628823,0.0,0.9583333333477674,67.02333333333333
1,SHAP,5.081659066046187,4.895047617478398,4.843229121506548,4.770873892205293,4.770873892205293,2.558869882364558,,
2,LIME,1.6197221984031702,1.3274788133902549,1.149630375381583,1.043551627855565,0.9526279441628823,0.0,0.9583333333477674,67.02333333333333
2,SHAP,5.58945096478874,5.4131852201571,5.366968302172255,5.366968302172255,5.366968302172255,2.156410637901402,,
5,LIME,1.6197221984031702,1.3274788133902549,1.149630375381583,1.043551627855565,0.9526279441628823,0.0,0.9583333333477674,67.02333333333333
5,SHAP,5.5783603622202,5.438023042989699,5.438023042989699,5.438023042989699,5.363619378623916,1.734326303919314,,
10,LIME,1.6197221984031702,1.3274788133902549,1.149630375381583,1.043551627855565,0.9526279441628823,0.0,0.9583333333477674,67.02333333333333
10,SHAP,5.713802351904115,5.607997436008919,5.607997436008919,5.607997436008919,5.543567560583167,1.306505390297899,,
15,LIME,1.6197221984031702,1.3274788133902549,1.149630375381583,1.043551627855565,0.9526279441628823,0.0,0.9583333333477674,67.02333333333333
15,SHAP,5.644922466768993,5.6008867423809106,5.6008867423809106,5.527788950535889,5.527788950535889,1.1010279734512238,,
20,LIME,1.6197221984031702,1.3274788133902549,1.149630375381583,1.043551627855565,0.9526279441628823,0.0,0.9583333333477674,67.02333333333333
20,SHAP,5.65246703215554,5.458329216675071,5.4039728432538405,5.4039728432538405,5.4039728432538405,0.9807489909318798,,
30,LIME,1.6197221984031702,1.3274788133902549,1.149630375381583,1.043551627855565,0.9526279441628823,0.0,0.9583333333477674,67.02333333333333
30,SHAP,5.570373570933103,5.5499290461895185,5.451224860713895,5.4074127862631,5.4074127862631,0.974062816686256,,
40,LIME,1.6197221984031702,1.3274788133902549,1.149630375381583,1.043551627855565,0.9526279441628823,0.0,0.9583333333477674,67.02333333333333
40,SHAP,5.5766148722253535,5.574854425321143,5.529781512214211,5.529781512214211,5.4587089511661695,0.9679191230485269,,
45,LIME,1.6197221984031702,1.3274788133902549,1.149630375381583,1.043551627855565,0.9526279441628823,0.0,0.9583333333477674,67.02333333333333
45,SHAP,5.686051811600432,5.686051811600432,5.686051811600432,5.591546310465766,5.591546310465766,0.9401656845987834,,
50,LIME,1.6197221984031702,1.3274788133902549,1.149630375381583,1.043551627855565,0.9526279441628823,0.0,0.9583333333477674,67.02333333333333
50,SHAP,5.58863670732215,5.557816258207894,5.557816258207894,5.557816258207894,5.557816258207894,0.9059583475104888,,
