X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,target_id,run_id
[0.00585251 0.00585251],[0.0004153 0.0004153],[0.00049631 0.00049631],[0.00160787 0.00160787],[0.00749564 0.00749564],[0.00132114 0.00132114],[0.00418149 0.00418149],[0.00920865 0.00920864],[0.01932179 0.01932179],[0.00218283 0.00218283],[0.00203321 0.00203321],[0.01055739 0.01055739],[0.0018296 0.0018296],[0.00684205 0.00684205],[0.00504656 0.00504656],[0.00512255 0.00512255],[0.0143376 0.0143376],[0.02123223 0.02123223],[0.02836102 0.02836102],[0.02446772 0.02446773],[0.00490981 0.00490981],[0.00228823 0.00228823],[0.01433668 0.01433668],0,0
[0.00901167 0.00901167],[0.00062328 0.00062328],[0.00068113 0.00068113],[0.0005288 0.0005288],[0.0124551 0.0124551],[0.00236488 0.00236488],[0.01066241 0.01066241],[0.00745529 0.00745529],[0.00724321 0.00724321],[0.00410575 0.00410574],[0.01261147 0.01261147],[0.00854343 0.00854343],[0.00027361 0.00027361],[0.00375838 0.00375838],[0.00044078 0.00044078],[0.00183515 0.00183515],[0.00745024 0.00745024],[0.03669457 0.03669457],[0.01901867 0.01901867],[0.01648948 0.01648948],[0.00902741 0.00902741],[0.00477426 0.00477426],[0.01146646 0.01146646],0,1
[0.00837249 0.00837249],[0.0028738 0.0028738],[0.00230005 0.00230005],[0.00166682 0.00166682],[0.0126494 0.0126494],[0.00661513 0.00661513],[0.00830989 0.00830989],[0.00615347 0.00615347],[0.01788264 0.01788264],[0.0088302 0.0088302],[0.00298026 0.00298026],[0.01671225 0.01671225],[0.0162527 0.0162527],[0.00070784 0.00070784],[0.01671369 0.01671369],[0.00071119 0.00071119],[0.00072248 0.00072248],[0.01992534 0.01992534],[0.02736288 0.02736288],[0.00659699 0.006597  ],[0.01962226 0.01962226],[0.00056194 0.00056194],[0.01797539 0.01797539],0,2
[0.00374929 0.00374929],[0.00172821 0.00172821],[0.00152105 0.00152105],[0.00170485 0.00170485],[0.00667883 0.00667884],[0.01323439 0.01323439],[0.00500339 0.00500339],[0.00729967 0.00729967],[0.01960852 0.01960852],[0.00745176 0.00745176],[0.00455458 0.00455458],[0.00598385 0.00598385],[0.00329521 0.00329521],[0.00167024 0.00167024],[0.0045061 0.0045061],[0.00024511 0.00024511],[0.00288043 0.00288043],[0.01817343 0.01817343],[0.01997749 0.01997749],[0.00110272 0.00110272],[0.01135095 0.01135095],[0.00869678 0.00869678],[0.0127666 0.0127666],0,3
[0.00493121 0.00493121],[5.20853032e-05 5.20852859e-05],[0.00267736 0.00267736],[0.00046407 0.00046407],[0.01035424 0.01035424],[0.00038938 0.00038938],[0.00789997 0.00789997],[0.00608276 0.00608276],[0.01572418 0.01572418],[0.00751318 0.00751318],[0.00886398 0.00886398],[0.01858783 0.01858783],[0.00218773 0.00218773],[0.00923153 0.00923153],[0.00540488 0.00540488],[0.01292292 0.01292292],[0.00400678 0.00400678],[0.01249741 0.01249741],[0.0248025 0.0248025],[0.01125045 0.01125045],[0.01904593 0.01904593],[0.00153994 0.00153994],[0.01433123 0.01433123],0,4
[0.0062721 0.0062721],[0.00521367 0.00521367],[0.00116483 0.00116483],[0.00128436 0.00128436],[0.00377102 0.00377103],[0.021734   0.02173401],[0.01322831 0.01322831],[0.01118652 0.01118652],[0.01516306 0.01516306],[0.00741742 0.00741742],[0.00369706 0.00369706],[0.00117178 0.00117178],[0.01264665 0.01264665],[0.00224379 0.00224379],[0.0053811 0.0053811],[0.00471694 0.00471694],[0.00771259 0.00771259],[0.01696984 0.01696984],[0.00461372 0.00461371],[0.00383252 0.00383252],[0.00769846 0.00769846],[0.0022319 0.0022319],[0.01019669 0.01019669],1,0
[0.00452503 0.00452503],[0.00386473 0.00386473],[0.00120586 0.00120586],[0.00469271 0.00469271],[0.00825878 0.00825878],[0.01859322 0.01859322],[0.01501269 0.01501269],[0.00998093 0.00998093],[0.01244325 0.01244325],[0.00790514 0.00790514],[0.00286976 0.00286976],[0.0058252 0.0058252],[0.00923048 0.00923048],[0.01323817 0.01323817],[0.00895125 0.00895125],[0.00647343 0.00647343],[0.00647451 0.00647451],[0.01346631 0.01346631],[0.0105589 0.0105589],[0.00457237 0.00457237],[0.00310398 0.00310398],[0.00267583 0.00267583],[0.00360682 0.00360682],1,1
[0.00767387 0.00767387],[0.00236808 0.00236808],[0.00072041 0.00072041],[0.00236383 0.00236383],[0.0071297 0.0071297],[0.01964756 0.01964756],[0.01155115 0.01155115],[0.01190565 0.01190565],[0.01041228 0.01041228],[0.00697683 0.00697683],[0.00357303 0.00357303],[0.00906701 0.00906701],[0.00547734 0.00547734],[0.01658607 0.01658607],[0.00778242 0.00778242],[0.00349721 0.00349721],[0.00940708 0.00940708],[0.01292422 0.01292422],[9.90211138e-05 9.90209723e-05],[0.00388982 0.00388982],[0.00814767 0.00814767],[0.00741504 0.00741504],[0.00400411 0.00400411],1,2
[0.00453007 0.00453007],[0.00565593 0.00565593],[0.00193809 0.00193809],[0.00205231 0.00205231],[0.00572151 0.00572151],[0.02213949 0.02213949],[0.01132385 0.01132385],[0.01089083 0.01089083],[0.01537027 0.01537027],[0.00863058 0.00863058],[0.00362613 0.00362613],[0.01891281 0.01891281],[0.00603346 0.00603346],[0.00768287 0.00768287],[0.01265098 0.01265098],[0.00662663 0.00662663],[0.00819992 0.00819992],[0.01878634 0.01878634],[0.00157396 0.00157396],[0.00371066 0.00371066],[0.00834419 0.00834419],[0.00166645 0.00166645],[0.00735074 0.00735074],1,3
[0.00946147 0.00946147],[0.00056707 0.00056707],[0.00135315 0.00135315],[0.0016551 0.0016551],[0.00512672 0.00512672],[0.01892994 0.01892994],[0.01521916 0.01521916],[0.01298844 0.01298844],[0.0111288 0.0111288],[0.00752428 0.00752428],[0.00456668 0.00456668],[0.01459803 0.01459803],[0.01660062 0.01660062],[0.01056048 0.01056048],[0.0100353 0.0100353],[0.00375796 0.00375796],[0.00859904 0.00859904],[0.01692443 0.01692443],[0.0035474 0.0035474],[0.01108071 0.01108071],[0.00781324 0.00781324],[0.00613428 0.00613428],[0.0073226 0.0073226],1,4
