X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,target_id,run_id
[0.02000603 0.02000603],[0.00245204 0.00245204],[0.00895437 0.00895437],[0.00701969 0.00701969],[0.0070215 0.0070215],[0.0181985 0.0181985],[0.04638398 0.04638398],[0.01884029 0.01884029],[0.01122037 0.01122037],[0.0137707 0.0137707],[0.01696217 0.01696217],[0.01457824 0.01457824],[0.01598498 0.01598498],[0.00266466 0.00266466],[0.00750306 0.00750306],[0.00204438 0.00204438],[0.00366712 0.00366712],[0.00167667 0.00167667],[0.02247962 0.02247962],[0.02202006 0.02202006],[0.0030626 0.0030626],[0.01423135 0.01423135],[0.00129006 0.00129006],0,0
[0.01886492 0.01886492],[0.00681474 0.00681474],[0.00881964 0.00881964],[0.00112779 0.00112779],[0.00249956 0.00249956],[0.00644517 0.00644517],[0.02878889 0.02878889],[0.02393821 0.02393821],[0.01735453 0.01735453],[0.01640909 0.01640909],[0.01032816 0.01032816],[0.00667058 0.00667058],[0.00223604 0.00223604],[0.00831493 0.00831493],[0.00313358 0.00313358],[0.00431902 0.00431902],[0.00677658 0.00677658],[0.02996836 0.02996836],[0.01404347 0.01404347],[0.01241682 0.01241682],[0.0090199 0.0090199],[0.00851407 0.00851407],[0.00687925 0.00687925],0,1
[0.02090219 0.02090219],[0.00368826 0.00368826],[0.00870151 0.00870151],[0.00081463 0.00081463],[0.0049608 0.0049608],[0.02149654 0.02149654],[0.03713929 0.03713929],[0.01690362 0.01690362],[0.01654216 0.01654216],[0.00856234 0.00856234],[0.00617971 0.00617971],[0.01030815 0.01030815],[0.00972014 0.00972014],[0.01210046 0.01210046],[0.00282653 0.00282653],[0.00814721 0.00814721],[7.35074374e-05 7.35075801e-05],[0.01618069 0.01618069],[0.00544828 0.00544828],[0.01261987 0.01261987],[0.01866317 0.01866317],[0.0170697 0.0170697],[0.01247595 0.01247595],0,2
[0.02197738 0.02197738],[0.00043805 0.00043805],[0.00851663 0.00851663],[9.60354995e-05 9.60355463e-05],[0.00646359 0.00646359],[0.01842108 0.01842108],[0.03638263 0.03638263],[0.02054797 0.02054797],[0.01391021 0.01391021],[0.0113648 0.0113648],[0.00947359 0.00947359],[0.0235814 0.0235814],[0.00384845 0.00384845],[0.00873293 0.00873293],[0.01622444 0.01622444],[0.0077702 0.0077702],[0.00159796 0.00159796],[0.00595384 0.00595385],[0.00736051 0.00736051],[0.00898158 0.00898158],[0.01358935 0.01358935],[0.00858408 0.00858408],[0.01017611 0.01017611],0,3
[0.01484099 0.01484099],[0.00176174 0.00176174],[0.01215715 0.01215715],[0.00313158 0.00313158],[0.00278122 0.00278122],[0.0101986 0.0101986],[0.02891693 0.02891693],[0.01501436 0.01501436],[0.01581601 0.01581601],[0.01961591 0.01961591],[0.01460091 0.01460091],[0.00239148 0.00239148],[0.00388197 0.00388197],[0.0171551 0.0171551],[0.01688081 0.01688081],[0.00071904 0.00071904],[0.00788701 0.00788701],[0.00235338 0.00235338],[0.007913 0.007913],[0.01319524 0.01319524],[0.01055696 0.01055696],[0.02061483 0.02061483],[0.00977218 0.00977218],0,4
[0.06515842 0.06515842],[0.00253457 0.00253457],[0.00967413 0.00967413],[0.00056054 0.00056054],[0.00912419 0.00912419],[0.07788847 0.07788847],[0.01596152 0.01596152],[0.01389774 0.01389774],[0.00190683 0.00190683],[0.00928179 0.00928179],[0.00425926 0.00425926],[0.00524789 0.00524789],[0.00195984 0.00195984],[0.01422885 0.01422885],[0.00202322 0.00202322],[0.00674209 0.00674209],[0.01063613 0.01063613],[0.00986537 0.00986537],[0.01811844 0.01811844],[0.00613968 0.00613968],[0.01794024 0.01794024],[0.00531447 0.00531447],[0.01131168 0.01131168],1,0
[0.06030662 0.06030662],[0.00243948 0.00243948],[0.01004382 0.01004382],[0.00277756 0.00277756],[0.00558334 0.00558334],[0.0774563 0.0774563],[0.01959433 0.01959432],[0.00679748 0.00679748],[0.00438149 0.00438149],[0.01080405 0.01080405],[0.00435195 0.00435195],[0.00603973 0.00603973],[0.00959007 0.00959007],[0.01480889 0.01480889],[0.0060803 0.0060803],[0.00221284 0.00221284],[0.00786019 0.00786019],[0.03195793 0.03195793],[0.02421712 0.02421712],[0.00780759 0.00780759],[0.01079171 0.01079171],[0.00415942 0.00415942],[0.02143266 0.02143266],1,1
[0.04650054 0.04650054],[0.00290942 0.00290942],[0.00776896 0.00776896],[0.00237624 0.00237624],[0.00375546 0.00375546],[0.07657422 0.07657422],[0.01643974 0.01643974],[0.01495103 0.01495103],[0.00257713 0.00257713],[0.01073321 0.01073321],[0.0042298 0.0042298],[0.0127114 0.0127114],[0.00106544 0.00106544],[0.01134117 0.01134117],[0.00018271 0.00018271],[0.00334033 0.00334033],[0.00024195 0.00024195],[0.0146937 0.0146937],[0.02843249 0.02843249],[0.00519609 0.00519609],[0.02301089 0.02301089],[0.00216276 0.00216276],[0.02400914 0.02400914],1,2
[0.06481767 0.06481767],[0.00130192 0.00130192],[0.01084006 0.01084006],[0.00049921 0.00049921],[0.00497276 0.00497276],[0.07350485 0.07350485],[0.01689541 0.01689541],[0.00686228 0.00686228],[0.00188444 0.00188444],[0.01073007 0.01073007],[0.00300388 0.00300388],[0.00272319 0.00272319],[0.00889602 0.00889602],[0.01702116 0.01702116],[0.00683677 0.00683677],[0.00403701 0.00403701],[0.0049473 0.0049473],[0.03158932 0.03158932],[0.02853342 0.02853342],[0.00535075 0.00535075],[0.02274766 0.02274766],[0.01227137 0.01227137],[0.02366033 0.02366033],1,3
[0.0617026 0.0617026],[0.00058971 0.00058971],[0.01195482 0.01195482],[0.00074349 0.00074349],[0.00515473 0.00515473],[0.07520095 0.07520095],[0.01653311 0.01653311],[0.00927808 0.00927808],[0.00360362 0.00360362],[0.0113771 0.0113771],[0.00170551 0.00170551],[0.00586304 0.00586304],[0.00287421 0.00287421],[0.00827932 0.00827932],[0.00296042 0.00296042],[0.01348331 0.01348331],[0.00936021 0.00936021],[0.0138538 0.0138538],[0.0397088 0.0397088],[0.00075976 0.00075976],[0.02059072 0.02059072],[0.00090686 0.00090686],[0.02383032 0.02383032],1,4
